,Virginia,California,Florida,New York,New Jersey,Texas,Michigan,Massachusetts,Arizona,Washington,Colorado,Illinois,the District of Columbia,Nevada,Hawaii,New Hampshire,Utah,Georgia,Montana,Minnesota,Louisiana,Maryland,Pennsylvania,South Carolina,North Carolina,Vermont,Tennessee,Oregon,New Mexico,Rhode Island,Alaska,Maine,Alabama,Wisconsin,Arkansas,Mississippi,Indiana,West Virginia,Idaho,North Dakota,Connecticut,Kentucky,Missouri,Kansas,Delaware,Wyoming,Oklahoma,South Dakota,Nebraska,Iowa,Ohio
2000-01-01,125119.60735824164,193143.06453952374,107596.26729665471,153038.7535777757,170064.02447986012,112639.0749201027,118082.44886276888,197787.91614460424,135480.96211884473,178404.041387947,178509.08098608317,128503.85217793124,164005.80668858858,155352.46523472216,196553.5031358002,134900.81931253173,170749.40396674591,125082.15945502483,,127642.09570707918,104453.51051899625,153119.9070907414,99768.75536432725,113599.06321667806,130271.72491112094,114877.5225388004,111513.0182331558,154303.4870968483,,133324.93962244358,135731.7202288048,108127.5274043266,100285.02057813795,120662.41889972496,87164.77533188908,86394.72248942495,99839.7028670299,74892.26289828666,124122.36497601848,,164346.3757447362,85572.29478657451,97590.18687858694,90287.2249372599,148516.13202080416,,82474.97329346043,109195.3948113479,117554.81523189651,92105.25831424438,107545.80884082546
2000-02-01,125443.37087443745,193792.27602901234,107829.33082742454,153583.72187205715,170522.45741373525,112700.28590298655,118147.4858564763,198448.26420230535,135726.35797062106,178806.45654480747,179142.91697829432,128606.83606002996,164542.2342176002,155371.88477260142,196462.56541894082,135359.09852754528,170842.95470291667,125366.1994091087,,128071.74369311833,104654.99190471461,153098.66974045092,99982.15317640093,113849.84419005076,130469.91650089831,115069.88196772488,111606.04336391471,154642.81686056464,,133931.29004002083,135885.8827878737,108487.26967133147,100459.65289391676,120627.39904038937,87281.26689919597,86347.34090466726,99702.42557968589,74889.05710736755,124047.12009164781,,164972.4927042856,85616.47534227232,97704.57009678049,90304.94849007015,148747.18903778488,,82508.99442924597,108963.39067221136,117742.73146311968,92281.26713855503,107611.52908576807
2000-03-01,125786.63620206236,194668.87051323638,108111.85028372852,154108.34173983778,170959.88319595743,112729.97418863753,118385.59076905635,199233.97418796903,136042.18693924914,179216.95583257623,179843.3713225161,128829.44034189702,165303.3695662929,155612.3283569732,196764.2353998983,135906.1734683323,170989.829143588,125693.93407988783,,128471.48153832542,104811.55987608728,153207.15998988555,100182.68979724182,114054.19262635392,130674.04985895233,115371.97577285707,111700.91880222403,154952.81839877687,,134568.0577200422,136039.96472045968,108808.47357644013,100576.65994311182,120762.38766848652,87413.43639269551,86345.2796173049,99548.24115104647,74913.26459429828,124094.79440133013,,165626.26287993148,85696.86005523098,97875.82034167314,90409.36566471122,149034.8758217125,,82667.57784282726,108638.71804561654,117916.89524830051,92447.42684657003,107711.1973210534
2000-04-01,126435.29350736056,196571.69576378292,108686.13967293862,155236.6564588597,171929.0139840513,112877.31978296959,118859.89481850092,200781.49154956153,136687.09149092977,180045.44833960792,181409.56205470068,129353.11397802077,166935.40037347085,156163.34743755768,197287.53352331868,136727.40878934725,171358.33965791596,126383.95941919972,,129409.81707393932,105164.5335690333,153468.95017163255,100591.35295867278,114522.63142587671,131116.85116852913,115965.57228428683,111929.18161111926,155603.33610620137,,135826.20674831985,136220.66681380125,109516.10427357735,100838.79076754476,120956.2442427923,87695.639619523,86407.56564449346,99079.53715346708,74974.53517902289,124193.77694969422,,166733.87830700577,85896.62342056056,98267.25996446823,90565.46207349526,149692.80897894996,,82956.34992500131,108201.094166541,118187.25029089751,92806.32726968177,108004.2765762525
2000-05-01,127061.5010843757,198783.4434738695,109305.44889295961,156404.0588562395,172916.96662374525,112972.74310055224,119559.35486508936,202456.60288179872,137418.0999214063,180949.6958187154,183157.7024450147,129974.46911686409,168746.65255330715,156865.493036599,198312.63026114673,137626.297930134,172693.83983118957,127145.02988422969,,130439.19041908497,105538.50560983607,154016.7817320121,101011.15234984145,114959.99206348708,131610.15643291222,116649.15765905388,112192.49042057375,156183.4595098684,,137079.8955958557,136492.69965703815,110182.69606030268,101131.15510918891,121343.00342880894,87973.97957849716,86710.66082924626,98853.06954101809,75094.07100771315,124516.54120217334,,167644.0445499134,86162.11447632177,98772.88650734494,90800.76343406008,150443.21102845104,,83344.21573917517,108019.02984490932,118324.34989711248,93202.85681903153,108451.14955980337
2000-06-01,127666.2152581926,201169.91282807282,109937.34383114125,157666.3436902705,174096.07809992277,113079.73586942688,120327.57226774476,204271.5550016869,138074.1072109389,181812.91905733515,185045.41559181656,130672.7930226534,170692.1838655102,157495.84648443674,199470.31777425608,138575.88671608726,174166.1502709596,127951.50840974851,,131629.34102496467,105945.88193853539,154679.14182602704,101442.59255375205,115441.75256571684,132134.91230077937,117287.42865384628,112453.81271583756,156721.93195163427,,138035.1114602003,136696.06056508652,110931.04261342114,101484.63531274498,121796.93340955944,88241.20814225683,87144.30596047793,98919.96329152652,75292.64728968892,124911.01362771813,,168545.54265557512,86453.96748496908,99331.63582067663,91066.17761597037,151271.09682232692,,83711.92084570607,107894.27764283918,118405.48166999173,93603.0928411029,109005.62588531856
2000-07-01,128400.27408277203,203690.19492309075,110572.24368685899,158801.13327485867,175430.35144723053,113150.0466728292,121223.80038096033,206419.31813674534,138741.2022012316,182750.72172481695,186958.15501434242,131430.22201249425,172539.2185275461,157984.40158933366,200628.0547572107,139893.71785400962,175642.1120376722,128766.4333854965,,132938.47650969797,106344.13936014177,155463.05713179449,101900.75544100074,115909.25600742018,132647.34452646275,117923.21132850803,112736.48709307196,157170.27367282906,,138908.11355718764,137120.4100192246,111735.78590915189,101811.94448728436,122398.06299661465,88499.50321956334,87544.78936681991,99406.07753806097,75553.5968463816,125301.11401296163,,169553.1027026736,86783.02392152899,99939.10044781561,91411.42262915343,152113.43628550755,,84092.68165233634,107807.28115472046,118499.45112450788,94009.54788081523,109553.75598846498
2000-08-01,129265.9036539099,206321.50251524683,111218.8566356605,159794.44876130647,177051.6832815508,113358.05365747788,122128.47380424752,209062.36498608856,139382.0016414676,183617.2555221535,189034.52046204507,132508.33152813304,174127.99437517454,158455.09886207365,201967.6833240768,141437.5809652558,176250.06064435293,129627.86037333337,,134731.42804621553,106659.03997201174,156190.5311764779,102338.1215253405,116423.90272252909,133130.57548617362,118580.52680065681,113028.23867958896,157649.1451369502,,139782.88837370553,137319.99771401045,112572.98423330777,102107.7338698265,123062.45093971328,88793.3533176342,87926.22031512605,99901.56320012722,75894.93833726698,125695.10232536563,,170772.04110675908,87159.45512696686,100594.13990556677,91786.32791039784,152933.09763356697,,84447.13231774868,107647.43593021079,118724.3387510663,94357.12648957652,110086.50147504553
2000-09-01,130211.88229616247,208958.9163916577,111889.07555554881,160677.10496102864,178844.54660328897,113630.82410313618,122993.15592838795,212032.319033524,140090.72163685434,184406.01032552923,191214.21326949573,133776.20734864764,175321.40683581572,159021.60065961696,203291.85597343996,143096.20264465472,176781.62779925988,130508.28734649172,,136584.97351094199,107017.67995331429,156934.0234490468,102783.75657659913,116955.20557631915,133602.22893883722,119307.2109415985,113376.81240333,158051.81424334564,,140860.7129075717,137502.06644457407,113444.22201985774,102425.02134359842,123727.97981426657,89125.71160601203,88266.00567803213,100288.74683479608,76200.5853256017,126024.92622477749,,172055.4683448471,87577.26091673505,101253.67729371779,92137.5006835389,153689.7231728433,,84769.33420897479,107870.12335988949,118999.03984479344,94719.69029245032,110609.9598641396
2000-10-01,131106.93163339843,211460.0404700745,112573.26448145018,161623.19628365707,180657.46066202837,113923.10287896288,123800.73337899994,215169.6378687833,140773.58671218567,185092.82953546976,193379.1921054106,135239.56711943474,175625.45616286332,159658.49415595422,204678.04980538142,145004.58316166376,177230.6216823085,131423.34530253545,,138481.9107692968,107442.38405184577,157718.62594858758,103211.13695616789,117478.16150441296,134100.87031855067,120181.70857846121,113714.39918157185,158456.29350783082,,141941.04683650975,137443.69432904062,114267.91126616014,102789.09350762605,124379.62993995067,89459.60023303628,88737.44184782814,100762.7592767348,76553.10704150678,126343.40297591207,,173459.97808666097,87967.58501274406,101954.8029920339,92496.52973210777,154365.39086071958,,85057.28480277977,108119.71941213043,119287.48358316744,95166.54058303732,111115.62869277499
